Timestamp,ExecutionType,NumIterations,ImageWidth,ImageHeight,NumAngles,NumDetectors,RelaxationFactor,FinalErrorNorm,ReconstructionTime_ms
2025-10-06 14:29:03,Metal,500,256,256,90,725,3,0.545161,2620.9
2025-10-06 14:29:08,Metal,1000,256,256,90,725,3,0.442179,4891.22
2025-10-06 14:29:32,Metal,5000,256,256,90,725,3,0.234874,23842.9
2025-10-06 14:30:21,Metal,10000,256,256,90,725,3,0.200831,48137.3
2025-10-06 14:31:12,Metal,100,256,256,90,725,3.5,0.721855,494.068
2025-10-06 14:31:15,Metal,500,256,256,90,725,3.5,0.531632,2555.59
2025-10-06 14:31:21,Metal,1000,256,256,90,725,3.5,0.427487,4875.69
2025-10-06 14:31:45,Metal,5000,256,256,90,725,3.5,0.227968,23903.9
2025-10-06 14:32:34,Metal,10000,256,256,90,725,3.5,0.198613,48214.9
2025-10-06 14:32:54,Metal,100,256,256,90,725,4,0.713795,494.243
2025-10-06 14:32:57,Metal,500,256,256,90,725,4,0.519068,2656.14
2025-10-06 14:33:03,Metal,1000,256,256,90,725,4,0.414078,5000.82
2025-10-06 14:33:27,Metal,5000,256,256,90,725,4,0.222335,23913.6
2025-10-06 14:34:15,Metal,10000,256,256,90,725,4,0.196955,47434.9
2025-10-06 15:03:43,Metal,100,256,256,90,725,5,0.66112,471.862
2025-10-06 15:03:46,Metal,500,256,256,90,725,5,0.442128,2312.25
2025-10-06 15:03:51,Metal,1000,256,256,90,725,5,0.337819,4499.12
2025-10-06 15:04:15,Metal,5000,256,256,90,725,5,0.200828,23508.5
2025-10-06 15:05:04,Metal,10000,256,256,90,725,5,0.191976,48593.1
2025-10-06 15:06:07,Metal,100,256,256,90,725,6,0.640099,458.075
2025-10-06 15:06:10,Metal,500,256,256,90,725,6,0.414025,2300.93
2025-10-06 15:06:15,Metal,1000,256,256,90,725,6,0.312827,4606.54
2025-10-06 15:06:39,Metal,5000,256,256,90,725,6,0.196954,23068.3
2025-10-06 15:07:24,Metal,10000,256,256,90,725,6,0.191322,45106.6
2025-10-06 15:23:13,Metal-wo-globalweight,100,256,256,90,725,0,0.89551,470.451
2025-10-06 15:23:15,Metal-wo-globalweight,500,256,256,90,725,0,0.742294,2305.64
2025-10-06 15:23:20,Metal-wo-globalweight,1000,256,256,90,725,0,0.670812,4530.73
2025-10-06 15:23:44,Metal-wo-globalweight,5000,256,256,90,725,0,0.457104,23126.7
2025-10-06 15:24:34,Metal-wo-globalweight,10000,256,256,90,725,0,0.354362,48884.2
2025-10-06 15:26:06,Metal-wo-globalweight-4,100,256,256,90,725,0,0.764027,475.832
2025-10-06 15:26:09,Metal-wo-globalweight-4,500,256,256,90,725,0,0.587448,2551.4
2025-10-06 15:26:15,Metal-wo-globalweight-4,1000,256,256,90,725,0,0.490393,5145.83
2025-10-06 15:26:40,Metal-wo-globalweight-4,5000,256,256,90,725,0,0.267502,24324.3
2025-10-06 15:27:28,Metal-wo-globalweight-4,10000,256,256,90,725,0,0.213743,47254.1
2025-10-06 15:28:49,Metal-wo-globalweight-6,100,256,256,90,725,0,0.723574,480.543
2025-10-06 15:28:52,Metal-wo-globalweight-6,500,256,256,90,725,0,0.531501,2598.2
2025-10-06 15:28:58,Metal-wo-globalweight-6,1000,256,256,90,725,0,0.428935,4873.93
2025-10-06 15:29:22,Metal-wo-globalweight-6,5000,256,256,90,725,0,0.231082,23846.4
2025-10-06 15:30:11,Metal-wo-globalweight-6,10000,256,256,90,725,0,0.198988,47790.6
